ICAO,Регион
UNAA,Республика Хакасия
UERA,Республика Саха (Якутия)
UEEA,Республика Саха (Якутия)
ULDD,Ненецкий автономный округ
UHMA,Чукотский автономный округ
URKA,Краснодарский край
ULMK,Мурманская область
ULAA,Архангельская область
URWA,Астраханская область
UHNA,Хабаровский край
UNIB,Красноярский край
UWSB,Саратовская область
UNBB,Алтайский край
UEBB,Республика Саха (Якутия)
UESG,Республика Саха (Якутия)
UUOB,Белгородская область
UHMR,Чукотский автономный округ
UHBB,Амурская область
USDB,Ямало-Ненецкий автономный округ
UHNB,Хабаровский край
UIKB,Иркутская область
UHHG,Амурская область
UIBB,Иркутская область
UUBP,Брянская область
UNIW,Красноярский край
ULDW,Ненецкий автономный округ
ULLK,Новгородская область
UENI,Республика Саха (Якутия)
UENW,Республика Саха (Якутия)
UHWW,Приморский край
URMO,Северная Осетия - Алания
URWW,Волгоградская область
ULWW,Вологодская область
UUYW,Республика Коми
UUOO,Воронежская область
URKG,Краснодарский край
UNBG,Республика Алтай
URMG,Чеченская республика
UEBD,Республика Саха (Якутия)
UODD,Красноярский край
USSS,Свердловская область
UNII,Красноярский край
UIKE,Иркутская область
UEVV,Республика Саха (Якутия)
UUBW,Московская область
UHME,Чукотский автономный округ
UHML,Чукотский автономный округ
UHBE,Амурская область
UESU,Республика Саха (Якутия)
UUBI,Ивановская область
UOII,Красноярский край
USII,Удмуртская республика
UIII,Иркутская область
UWKJ,Республика Марий Эл
UWKD,Республика Татарстан
UMKK,Калининградская область
UUBC,Калужская область
UHPZ,Камчатский край
UNEE,Кемеровская область
UHMK,Чукотский автономный округ
UIKK,Иркутская область
USKK,Кировская область
USRK,Ханты-Мансийский автономный округ - Югра
UNKI,Красноярский край
UHKK,Хабаровский край
UUBA,Костромская область
URKK,Краснодарский край
UNKL,Красноярский край
USUU,Курганская область
UUOK,Курская область
UNKY,Республика Тыва
UERL,Республика Саха (Якутия)
UUOL,Липецкая область
UHMM,Магаданская область
UEMM,Республика Саха (Якутия)
URMS,Республика Ингушетия
USCM,Башкортостан
UHPN,Камчатский край
UHMO,Чукотский автономный округ
URML,Республика Дагестан
UHPM,Камчатский край
URMM,Ставропольский край
UERR,Республика Саха (Якутия)
UEMA,Республика Саха (Якутия)
UUWW,город Москва
UUDD,Московская область
UUEE,Московская область
UNIM,Красноярский край
ULMM,Мурманская область
USMM,Ямало-Ненецкий автономный округ
URMN,Кабардино-Балкарская республика
ULAM,Ненецкий автономный округ
UELL,Республика Саха (Якутия)
UIUN,Республика Бурятия
USNN,Ханты-Мансийский автономный округ - Югра
UWKE,Республика Татарстан
UWGG,Нижегородская область
UHNN,Хабаровский край
UHPX,Камчатский край
UNWW,Кемеровская область
UNNT,Новосибирская область
USMU,Ямало-Ненецкий автономный округ
UHSN,Сахалинская область
UOOO,Красноярский край
USRO,Ямало-Ненецкий автономный округ
UENN,Республика Саха (Якутия)
UHQO,Камчатский край
UEMO,Республика Саха (Якутия)
UERO,Республика Саха (Якутия)
UHMN,Чукотский автономный округ
UNOO,Омская область
UHMF,Магаданская область
UWOO,Оренбургская область
UWOR,Оренбургская область
UHPD,Камчатский край
UHSH,Сахалинская область
UHOO,Хабаровский край
UHPL,Камчатский край
ZD5W,Сахалинская область
UHPA,Камчатский край
UHMP,Чукотский автономный округ
UWPP,Пензенская область
USPP,Пермский край
ULPB,Республика Карелия
UHPP,Камчатский край
UNIP,Красноярский край
UERP,Республика Саха (Якутия)
UHMD,Чукотский автономный округ
ULOO,Псковская область
URRP,Ростовская область
USDA,Ямало-Ненецкий автономный округ
UEBS,Республика Саха (Якутия)
USDD,Ямало-Ненецкий автономный округ
UWWW,Самарская область
UEMS,Республика Саха (Якутия)
ULLI,Санкт-Петербург
UWPS,Республика Мордовия
UWSG,Саратовская область
UERS,Республика Саха (Якутия)
URFB,город Севастополь
UNIS,Красноярский край
UHMW,Магаданская область
UHMS,Магаданская область
URFF,Автономная Республика Крым
UHPS,Камчатский край
ULAS,Архангельская область
URSS,Краснодарский край
UESK,Республика Саха (Якутия)
URMT,Ставропольский край
UENS,Республика Саха (Якутия)
USRR,Ханты-Мансийский автономный округ - Югра
UUYY,Республика Коми
UIKG,Республика Бурятия
UECT,Республика Саха (Якутия)
UUOT,Тамбовская область
USDS,Ямало-Ненецкий автономный округ
UHPG,Камчатский край
UEST,Республика Саха (Якутия)
UHPT,Камчатский край
USDO,Ямало-Ненецкий автономный округ
UNTT,Томская область
UNIT,Красноярский край
UOTT,Красноярский край
UHBW,Амурская область
USTR,Тюменская область
UIUU,Республика Бурятия
UWLL,Ульяновская область
UUYS,Республика Коми
UHPK,Камчатский край
UEBT,Республика Саха (Якутия)
UITT,Иркутская область
UEMU,Республика Саха (Якутия)
UEMT,Республика Саха (Якутия)
UHPU,Камчатский край
USDM,Ямало-Ненецкий автономный округ
UWUU,Республика Башкортостан
UHHH,Хабаровский край
UEMH,Республика Саха (Якутия)
USHH,Ханты-Мансийский автономный округ - Югра
UOHH,Красноярский край
UHNH,Хабаровский край
UIAR,Забайкальский край
UWKS,Республика Чувашия
USCC,Челябинская область
ULWC,Вологодская область
UESS,Республика Саха (Якутия)
UIAA,Забайкальский край
UESO,Республика Саха (Якутия)
UHHY,Хабаровский край
UHSK,Сахалинская область
HC3Y,Сахалинская область
UHBP,Амурская область
URWI,Республика Калмыкия
UHSM,Сахалинская область
UHSS,Сахалинская область
UEEE,Республика Саха (Якутия)
USMQ,Ямало-Ненецкий автономный округ
UUDL,Ярославская область
UHSI,Сахалинская область
ZFC7,Республика Абхазия
UKCC,Донецкая область
UKCW,Луганская Народная Республика
UKDE,Запорожская область
UKOH,Херсонская область
UKCM,Донецкая Народная Республика