Регион;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Российская Федерация;20 772;23 193;25 631;27 333;30 140;30 717;31 714;33 138;35 233;35 934;39 934;47 385;53 139
Центральный федеральный округ;27 053;29 884;33 270;34 491;38 351;39 592;41 151;43 290;46 486;47 318;53 244;62 650;71 359
Белгородская область  ;18 796;21 649;23 229;24 724;28 006;29 751;30 286;30 713;32 322;32 799;35 511;41 855;47 184
Брянская область ;15 352;17 484;18 733;20 634;23 479;24 057;25 162;26 722;28 497;28 720;31 713;37 428;40 161
Владимирская область;14 304;16 201;18 007;19 451;22 593;22 217;23 368;23 344;25 125;25 649;28 148;34 667;38 619
Воронежская область;15 904;18 933;21 653;24 924;29 291;29 192;29 388;30 158;31 865;31 925;34 982;41 156;44 971
Ивановская область;13 036;16 128;17 964;20 163;22 783;24 314;25 658;25 421;26 902;27 558;30 235;36 509;40 326
Калужская область;17 509;20 573;21 943;23 868;26 787;27 971;27 741;28 036;30 021;30 943;33 174;39 423;44 538
Костромская область ;14 619;16 011;17 225;19 520;22 550;23 974;25 090;24 866;26 727;27 408;30 567;37 285;43 636
Курская область;16 391;18 879;19 459;21 897;25 383;25 416;26 185;27 369;29 258;29 917;32 871;39 401;42 670
Липецкая область;16 796;19 775;21 858;24 267;26 864;27 645;28 598;29 593;31 999;31 932;34 509;41 177;43 655
Московская область;25 524;29 264;31 368;32 718;36 170;38 596;39 386;41 402;43 749;43 332;49 213;55 746;64 868
Орловская область;14 828;16 838;17 272;19 038;22 152;23 067;24 056;24 989;26 296;27 121;30 008;35 923;48 401
Рязанская область;14 781;17 625;18 883;21 262;23 578;23 660;24 104;25 239;26 639;27 044;30 142;36 431;39 491
Смоленская область;15 987;18 367;18 573;20 644;23 893;23 905;25 125;26 421;28 012;28 870;31 484;35 653;43 716
Тамбовская область ;15 152;17 453;19 690;21 750;24 876;25 782;26 072;26 843;28 176;27 924;30 290;34 783;38 945
Тверская область;14 946;17 290;19 282;20 902;23 703;24 101;24 399;25 181;27 281;27 771;30 773;36 265;41 192
Тульская область;16 944;19 235;19 496;21 656;25 035;26 257;26 550;26 429;27 625;28 315;30 935;37 146;42 341
Ярославская область   ;15 520;18 648;20 744;22 972;26 799;26 997;27 477;27 393;29 056;29 978;33 697;40 667;43 482
город Москва;47 205;49 596;56 409;55 670;60 465;61 649;64 805;68 915;74 475;76 320;86 453;102 039;115 843
Северо-Западный федеральный округ;21 183;23 418;25 488;27 779;31 256;32 831;34 319;36 284;38 107;39 502;44 623;52 455;57 890
Республика Карелия;17 606;20 310;22 595;23 822;27 118;27 911;29 654;31 965;34 244;36 504;39 929;46 019;52 984
Республика Коми;24 016;27 352;29 283;30 371;32 331;33 118;34 001;36 243;37 913;39 601;42 603;50 840;54 576
Архангельская область   ;21 538;23 415;25 849;28 905;32 434;32 817;34 057;36 002;38 304;39 788;43 381;52 050;56 616
    Ненецкий авт.округ;54 814;62 921;67 935;68 483;74 218;73 852;76 115;82 451;85 633;89 570;92 620;115 336;122 992
Архангельская область без авт.округа;20 342;21 967;24 277;27 402;30 816;31 201;32 381;34 133;36 377;37 728;41 307;49 347;53 726
Вологодская область;15 639;18 252;18 998;21 800;25 002;26 614;25 933;27 028;28 438;29 706;31 887;37 178;42 704
Калининградская область;16 878;19 449;20 064;22 596;25 476;25 623;26 415;27 491;29 025;29 536;31 934;38 327;43 287
Ленинградская область ;15 892;17 834;19 633;21 225;25 008;27 804;28 809;30 321;31 192;31 884;35 199;40 790;44 494
Мурманская область   ;25 395;29 248;32 497;34 670;38 001;38 936;41 247;44 019;47 218;50 139;55 506;65 707;73 313
Новгородская область;16 988;19 569;20 646;23 023;25 712;25 380;25 870;25 745;26 346;26 606;29 517;34 201;38 889
Псковская область   ;14 202;16 352;17 973;19 867;21 762;22 328;23 657;24 321;26 060;27 069;30 127;35 031;38 716
город Санкт-Петербург;26 012;27 654;30 179;32 701;36 757;39 002;41 302;43 889;45 999;47 664;55 679;65 395;71 746
Южный федеральный округ;16 573;18 825;21 487;20 557;25 157;26 202;27 048;28 270;29 732;30 413;34 431;40 219;44 922
Республика Адыгея  ;14 230;16 920;18 459;21 625;22 417;24 269;25 476;26 397;27 739;28 716;32 882;36 627;42 595
Республика Калмыкия;8 834;10 205;11 700;13 029;15 325;15 748;16 316;17 140;18 573;19 892;21 415;23 771;27 080
Республика Крым;;;;;15 641;17 750;19 681;21 320;22 094;22 698;25 937;29 817;32 842
Краснодарский край;18 773;21 607;24 979;27 859;30 970;32 432;32 898;34 258;35 894;36 547;42 228;48 684;54 492
Астраханская область;16 060;17 876;20 104;22 211;24 149;23 205;23 313;24 285;25 590;25 912;27 675;33 137;36 465
Волгоградская область;14 509;15 975;18 000;19 286;21 953;21 241;21 819;22 551;23 843;24 627;27 226;32 673;35 472
Ростовская область ;16 004;18 086;20 475;22 893;25 730;26 533;27 591;28 915;30 647;31 270;34 743;41 377;46 747
город Севастополь;;;;;17 324;24 746;25 950;25 911;26 423;27 267;31 603;35 679;39 471
Северо-Кавказский федеральный округ;15 037;17 120;18 533;20 209;22 368;22 062;22 762;22 967;24 057;24 143;26 323;32 330;35 086
Республика Дагестан;18 265;20 688;21 489;23 198;26 625;25 516;26 302;25 551;27 160;27 395;29 952;37 606;39 646
Республика Ингушетия;11 579;12 370;13 355;14 809;15 358;15 947;16 047;16 450;16 945;17 247;18 573;23 047;24 367
Кабардино-Балкарская  Республика;12 617;13 649;14 851;16 207;18 670;19 367;19 953;20 237;20 815;21 276;24 991;34 759;38 681
Карачаево-Черкесская  Республика;11 740;13 379;14 203;16 280;17 754;17 546;17 809;17 947;18 793;18 903;20 256;23 035;25 511
Республика  Северная Осетия - Алания;13 758;16 165;17 142;19 265;21 816;22 237;22 730;23 375;24 582;24 035;25 980;30 774;34 561
Чеченская Республика;14 025;15 270;18 171;19 746;22 703;22 854;22 484;23 207;24 166;24 645;26 425;30 751;35 692
Ставропольский край;14 412;16 987;18 616;20 258;20 871;20 532;21 912;22 723;23 591;23 305;25 133;30 100;32 171
Приволжский федеральный округ;17 282;19 663;21 638;23 598;26 097;25 608;25 976;26 683;28 275;28 604;31 285;37 173;41 343
Республика Башкортостан;19 010;21 201;23 741;25 559;27 065;27 528;28 083;28 527;30 076;29 827;31 935;36 463;40 006
Республика Марий Эл  ;11 324;12 519;14 521;16 433;18 496;18 791;19 249;19 715;20 762;21 138;23 024;27 276;29 733
Республика Мордовия;11 942;13 060;13 989;15 719;17 494;17 714;18 114;18 483;19 543;20 394;22 607;27 439;30 612
Республика Татарстан;20 198;23 915;26 835;29 276;32 031;32 297;31 887;33 070;34 941;34 815;38 601;45 932;52 221
Удмуртская Республика;14 468;16 749;17 874;20 317;24 493;23 905;24 336;24 221;25 537;25 997;28 346;33 820;38 353
Чувашская Республика ;12 090;13 784;14 834;16 455;18 244;17 767;18 088;18 617;20 351;21 384;23 926;28 702;32 313
Пермский край;21 317;23 361;25 014;27 343;31 754;27 907;28 530;28 960;30 891;30 550;33 139;39 767;44 936
Кировская область;14 720;16 891;17 642;20 095;22 194;22 072;22 707;23 388;24 989;25 804;28 519;35 178;38 005
Нижегородская область ;18 346;21 765;24 425;27 144;30 139;30 221;30 521;31 651;34 163;34 140;37 929;45 573;50 283
Оренбургская область;14 916;16 624;18 546;20 949;23 301;22 569;23 430;23 998;25 215;25 530;27 454;32 972;36 601
Пензенская область ;14 178;15 948;16 845;18 782;21 540;20 730;21 491;21 975;23 176;24 352;26 676;32 072;35 210
Самарская область;21 746;24 662;26 280;26 271;27 799;26 819;26 932;27 986;29 190;29 708;32 343;38 444;42 325
Саратовская область;13 081;14 227;16 191;17 632;19 887;19 535;19 918;21 022;22 274;23 515;25 517;30 290;32 979
Ульяновская область;14 319;16 399;17 898;20 632;22 805;22 731;23 423;22 954;23 895;24 813;27 112;31 670;35 749
Уральский федеральный округ;23 909;26 308;28 726;30 008;32 741;32 924;33 663;35 118;37 063;37 379;40 251;47 466;53 234
Курганская область;14 378;16 213;17 225;18 540;20 635;20 574;21 149;20 899;21 983;22 654;24 710;29 838;33 596
Свердловская область;24 893;27 853;30 461;31 540;34 116;34 721;35 214;36 741;39 100;37 452;40 281;47 109;53 343
Тюменская область   ;30 698;33 449;36 125;37 724;41 810;42 552;44 108;46 417;48 729;50 206;53 105;62 161;68 855
    Ханты-Мансийский авт.округ;33 916;36 313;39 821;40 720;46 088;46 768;48 631;50 590;53 205;54 264;56 644;66 517;72 279
    Ямало-Ненецкий авт.округ;46 947;53 136;59 885;63 633;69 942;75 414;79 805;84 067;89 655;96 553;104 323;120 010;139 638
Тюменская область без авт.округов;20 673;22 572;22 984;24 867;27 068;26 594;27 132;29 443;30 608;30 971;32 956;39 047;42 569
Челябинская область;18 459;19 815;21 967;23 064;24 646;23 647;23 708;24 378;25 416;26 628;29 474;35 347;39 695
Сибирский федеральный округ***;16 661;18 598;20 277;21 439;23 687;24 022;24 796;25 800;27 380;28 187;31 007;37 881;42 780
Республика Алтай;13 870;14 386;14 845;17 244;18 257;18 402;19 155;20 191;21 062;22 642;24 958;29 564;34 244
Республика Тыва;10 958;11 995;13 522;13 836;15 500;14 881;14 916;15 498;16 488;18 803;20 435;24 460;28 920
Республика Хакасия;14 219;15 997;16 621;17 612;19 053;19 542;20 148;21 440;22 533;23 659;25 849;31 056;34 979
Алтайский край;12 527;13 706;16 070;18 573;21 277;21 779;22 788;23 666;24 935;24 981;27 305;32 901;36 315
Красноярский край   ;20 143;22 517;24 245;24 373;27 026;27 851;28 777;29 972;31 694;32 801;36 004;43 183;50 368
Иркутская область;16 015;17 813;18 831;19 601;21 730;22 480;23 470;24 456;26 301;27 514;30 270;37 484;42 268
Кемеровская область;16 670;18 523;19 348;19 880;21 921;21 395;22 201;23 248;24 979;25 544;28 174;33 996;39 400
Новосибирская область;18 239;20 710;22 584;23 333;25 477;26 701;27 598;28 751;30 422;31 440;35 070;44 359;49 347
Омская область;17 259;19 533;20 689;23 482;25 433;24 893;24 920;25 688;27 278;27 729;30 407;36 919;40 521
Томская область;16 520;18 041;22 902;24 375;26 885;26 232;26 778;27 392;28 494;29 000;31 210;37 954;41 213
Дальневосточный федеральный округ***;21 141;23 594;26 011;28 540;32 199;32 812;33 836;35 898;38 420;39 612;43 089;52 186;57 091
Республика Бурятия;15 716;17 693;18 916;20 737;23 902;23 779;23 931;24 190;25 400;26 333;28 446;35 163;38 263
Республика Саха (Якутия);25 611;28 682;30 560;32 994;36 918;38 737;40 404;42 711;45 315;46 108;50 090;59 040;69 031
Забайкальский край;15 997;17 639;19 245;19 938;22 369;22 518;23 252;24 655;26 566;28 021;31 043;38 601;42 400
Камчатский край   ;29 051;32 048;36 073;39 836;43 985;45 322;47 131;51 020;55 455;58 674;64 791;77 505;84 661
Приморский край;19 170;21 713;23 820;27 580;31 224;31 454;32 500;34 947;37 224;37 728;41 293;49 942;54 010
Хабаровский край ;23 774;25 713;29 257;31 262;35 550;36 673;37 222;39 225;41 618;41 931;44 310;52 656;55 717
Амурская область;17 800;21 836;23 097;25 478;28 371;28 136;29 409;31 178;33 599;35 862;40 067;49 798;53 913
Магаданская область ;30 469;36 680;42 345;45 173;51 011;51 694;55 265;60 314;66 036;71 805;82 031;101 999;110 218
Сахалинская область   ;32 323;32 899;38 150;42 530;48 753;50 536;51 698;55 207;60 757;62 792;66 211;79 322;87 016
Еврейская  авт.область;16 549;18 528;20 556;22 057;24 061;23 413;24 086;25 178;27 187;28 815;31 118;37 753;43 127
Чукотский  авт.округ;43 156;48 860;56 200;60 815;64 459;69 211;74 940;81 206;86 234;92 980;104 178;138 161;138 245
