ICAO,Агломерация
UECT,8984
UERR,47325
USDA,22
UOII,7018
USRO,142639
USMM,57857
UELL,72767
UUYS,82991
USRK,113667
USDB,0
UITT,50236
ULAM,36803
UERP,25815
UIKB,20682
USMQ,3137
UERL,27532
UHNN,30691
UHSH,22224
UHPT,2438
UHSM,11817
UHSI,6485
UNIS,9789
UHOO,5817
UIKK,19116
UEMO,20172
UHMP,4641
UEBB,8988
UHMK,6743
UNIB,3994
UIUN,30830
UNIT,5773
UENN,33622
UOTT,5334
UESK,5128
UEST,5124
UUYW,77263
USDS,63618
UIKG,11186
ULDW,0
UOHH,3565
UIAR,6485
UEMT,5542
UEMM,432316
UERS,2438
UEBD,3695
UNIP,4715
UERO,3089
UESG,3134
UNIW,3194
UENS,22721
UEVV,4026
UHME,0
UHPD,3509
UHKK,347132
UIKE,2026
UEMA,3119
UHPL,3443
UHMF,4913
UESU,3950
USDO,1892
UHML,0
UHMW,1879
UESS,3202
UNII,112839
UESO,2443
UHMD,0
ULAS,30031
UEBS,3397
UEBT,1819
UHPG,1974
UENW,42412
UHHY,1604
UHSK,58779
UHPU,1122
UNKI,42218
UEEA,37606
UEMH,8893
UNIM,19752
UHMS,3027
UHMO,1028
UENI,52414
UHNA,818
UHBE,46110
UHMR,1354
UHNB,33507
UODD,676
UHPX,696
UHPZ,1499
UEMU,5240
UHPN,1499
ULDD,574
UHMN,699
UEMS,7898
UHNH,4275
UHPA,1346
UHBW,37553
UHPS,2404
UHHG,5075
UHBP,4267
UHPK,3730
UERA,25815
UHQO,4648
UHPM,8477
UHSN,14225
ZD5W,2485
USDM,196
HC3Y,11244
UUEE,18082280
UUDD,18486157
UUWW,18354893
ULLI,6320314
URSS,557978
UNNT,2200594
USSS,3021106
URFF,2509264
URKK,3253982
UWUU,1745128
UWKD,2260422
UHWW,1325025
URRP,3148733
UWWW,2881384
URMM,2223945
UNKL,1289035
UIII,1261163
UMKK,911453
UHHH,773186
USTR,1100025
USRR,735616
USCC,2212754
USPP,1643798
URKA,1420217
URML,2238870
UNOO,1575555
UUBW,18571746
URWW,1695735
UHSS,343377
UWGG,2520761
ULMM,519816
USMU,137757
UEEE,440501
ULAA,613342
UUOO,2426903
UWOO,930285
UWKE,1684108
UHPP,268292
USNN,448980
UNTT,1142842
URWA,852970
UWSG,1625902
URMO,2747521
UHBB,411647
UUYY,345351
UNBB,1130217
UOOO,267819
UNEE,1270611
UIUU,681614
URMG,3209356
UUOB,1148179
UIAA,571849
UHMM,113381
URMT,1821737
USHH,108096
UWKS,1901823
USDD,94665
USII,1694421
UWLL,1272909
URMS,2770557
USCM,815653
UNWW,1396602
ULMK,239727
USKK,817989
UNAA,647594
URKG,2625480
UWPP,1098097
ULWC,478610
UIBB,269943
UUBC,2164963
URMN,2493223
UNBG,502810
UHMA,19022
USUU,717447
UUOL,1359919
UWPS,851614
URWI,219053
ULPB,368452
UNKY,195562
UWSB,593615
UUBP,1002275
UWOR,506059
UUDL,2142127
UUBI,2740170
UUOK,1141466
ULOO,398908
UUOT,964067
ULWW,531843
UUBA,2040196
UWKJ,1463447
URFB,1989996
ULLK,569840